H;penstroke-edit;2;caveat_edit_subset fixing.cdr;464;564;0
G;0;0000;hash
S;2;1;185.60;245.63
S;2;1;187.28;243.13
S;2;1;188.88;240.58
S;2;1;190.42;237.98
S;2;1;191.87;235.34
S;2;1;193.22;232.65
S;2;1;194.47;229.91
S;2;1;195.58;227.11
S;2;1;196.53;224.25
S;2;1;197.25;221.32
S;2;1;197.67;218.34
S;2;1;197.98;215.34
S;2;1;198.22;212.34
S;2;1;198.37;209.33
S;2;1;198.39;206.31
S;2;1;198.23;203.30
S;2;1;197.85;200.32
S;2;1;197.17;197.38
S;2;1;196.11;194.57
S;2;1;194.55;191.99
S;2;1;192.47;189.83
S;2;1;189.92;188.23
S;2;1;187.08;187.24
S;2;1;184.10;186.79
G;3;0000;amp
S;3;0;286.88;430.14
S;3;0;284.44;428.40
S;3;0;281.99;426.68
S;3;0;279.52;424.97
S;3;0;277.04;423.28
S;3;0;274.55;421.61
S;3;0;272.05;419.96
S;3;0;269.54;418.33
S;3;0;267.01;416.72
S;3;0;264.47;415.13
S;3;0;261.92;413.55
S;3;0;259.36;411.99
S;3;0;256.80;410.42
S;3;0;254.25;408.85
S;3;0;251.71;407.26
S;3;0;249.19;405.64
S;3;0;246.70;403.96
S;3;0;244.25;402.24
S;3;0;241.85;400.45
S;3;0;239.49;398.60
S;3;0;237.17;396.70
S;3;0;234.89;394.76
S;3;0;232.65;392.76
S;3;0;230.44;390.74
S;3;0;228.26;388.68
S;3;0;226.11;386.59
S;3;0;223.98;384.48
S;3;0;221.87;382.35
S;3;0;219.78;380.21
S;3;0;217.70;378.04
S;3;0;215.64;375.87
S;3;0;213.58;373.69
S;3;0;211.54;371.49
S;3;0;209.51;369.29
S;3;0;207.46;367.10
S;3;0;205.41;364.91
S;3;0;203.35;362.73
S;3;0;201.29;360.55
S;3;0;199.23;358.38
S;3;0;197.16;356.21
S;3;0;195.09;354.04
S;3;0;193.02;351.87
S;3;0;190.95;349.70
S;3;0;188.89;347.53
S;3;0;186.83;345.35
S;3;0;184.77;343.17
S;3;0;182.73;340.98
S;3;0;180.69;338.78
S;3;0;178.66;336.57
S;3;0;176.64;334.36
S;3;0;174.63;332.13
S;3;0;172.64;329.89
S;3;0;170.66;327.64
S;3;0;168.70;325.38
S;3;0;166.75;323.09
S;3;0;164.83;320.80
S;3;0;162.92;318.48
S;3;0;161.04;316.15
