H;penstroke-edit;2;caveat_edit fixing.cdr;464;564;0
G;0;0000;a
S;3;0;217.76;199.28
S;3;0;216.53;202.04
S;3;0;215.34;204.80
S;3;0;214.17;207.58
S;3;0;213.02;210.37
S;3;0;211.90;213.17
S;3;0;210.80;215.97
S;3;0;209.72;218.79
S;3;0;208.67;221.61
S;3;0;207.62;224.44
S;3;0;206.60;227.27
S;3;0;205.59;230.11
S;3;0;204.60;232.96
S;3;0;203.62;235.81
S;3;0;202.65;238.66
S;3;0;201.69;241.52
S;3;0;200.74;244.38
S;3;0;199.80;247.24
S;3;0;198.86;250.11
S;3;0;197.93;252.97
S;3;0;197.00;255.84
S;3;0;196.06;258.71
S;3;0;195.13;261.57
S;3;0;194.20;264.44
S;3;0;193.27;267.31
S;3;0;192.35;270.17
S;3;0;191.43;273.05
S;3;0;190.51;275.92
S;3;0;189.60;278.79
S;3;0;188.71;281.67
S;3;0;187.82;284.55
S;3;0;186.94;287.43
S;3;0;186.07;290.32
S;3;0;185.22;293.21
S;3;0;184.38;296.10
S;3;0;183.55;299.00
S;3;0;182.74;301.91
S;3;0;181.95;304.81
S;3;0;181.18;307.73
S;3;0;180.43;310.65
S;3;0;179.70;313.57
S;3;0;178.99;316.50
S;3;0;178.30;319.44
S;3;0;177.64;322.38
S;3;0;177.01;325.32
S;3;0;176.40;328.27
S;3;0;175.83;331.23
S;3;0;175.28;334.20
S;3;0;174.76;337.17
S;3;0;174.28;340.14
S;3;0;173.84;343.12
S;3;0;173.42;346.11
S;3;0;173.05;349.10
S;3;0;172.71;352.09
S;3;0;172.42;355.09
S;3;0;172.17;358.10
S;3;0;171.96;361.10
S;3;0;171.79;364.11
S;3;0;171.67;367.13
S;3;0;171.60;370.14
S;3;0;171.58;373.15
S;3;0;171.60;376.17
S;3;0;171.68;379.18
S;3;0;171.81;382.19
S;3;0;171.99;385.20
S;3;0;172.23;388.20
S;3;0;172.53;391.20
S;3;0;172.88;394.20
S;3;0;173.28;397.18
S;3;0;173.75;400.16
S;3;0;174.27;403.13
S;3;0;174.86;406.09
S;3;0;175.50;409.03
G;4;0000;e
S;4;0;102.96;317.51
S;4;0;105.65;318.85
S;4;0;108.38;320.09
S;4;0;111.15;321.24
S;4;0;113.96;322.27
S;4;0;116.82;323.20
S;4;0;119.71;323.99
S;4;0;122.64;324.65
S;4;0;125.59;325.16
S;4;0;128.57;325.52
S;4;0;131.57;325.70
S;4;0;134.57;325.70
S;4;0;137.56;325.52
S;4;0;140.54;325.14
S;4;0;143.48;324.57
S;4;0;146.38;323.80
S;4;0;149.22;322.83
S;4;0;151.99;321.68
S;4;0;154.68;320.36
S;4;0;157.28;318.87
